,PassengerId,Survived,Age,Pclass,Sex,Fare
0,1,0,22.0,3,1,7.25
1,2,1,38.0,1,0,71.2833
2,3,1,26.0,3,0,7.925
3,4,1,35.0,1,0,53.1
4,5,0,35.0,3,1,8.05
5,6,0,,3,1,8.4583
6,7,0,54.0,1,1,51.8625
7,8,0,2.0,3,1,21.075
8,9,1,27.0,3,0,11.1333
9,10,1,14.0,2,0,30.0708
10,11,1,4.0,3,0,16.7
11,12,1,58.0,1,0,26.55
12,13,0,20.0,3,1,8.05
13,14,0,39.0,3,1,31.275
14,15,0,14.0,3,0,7.8542
15,16,1,55.0,2,0,16.0
16,17,0,2.0,3,1,29.125
17,18,1,,2,1,13.0
18,19,0,31.0,3,0,18.0
19,20,1,,3,0,7.225
20,21,0,35.0,2,1,26.0
21,22,1,34.0,2,1,13.0
22,23,1,15.0,3,0,8.0292
23,24,1,28.0,1,1,35.5
24,25,0,8.0,3,0,21.075
25,26,1,38.0,3,0,31.3875
26,27,0,,3,1,7.225
27,28,0,19.0,1,1,263.0
28,29,1,,3,0,7.8792
29,30,0,,3,1,7.8958
30,31,0,40.0,1,1,27.7208
31,32,1,,1,0,146.5208
32,33,1,,3,0,7.75
33,34,0,66.0,2,1,10.5
34,35,0,28.0,1,1,82.1708
35,36,0,42.0,1,1,52.0
36,37,1,,3,1,7.2292
37,38,0,21.0,3,1,8.05
38,39,0,18.0,3,0,18.0
39,40,1,14.0,3,0,11.2417
40,41,0,40.0,3,0,9.475
41,42,0,27.0,2,0,21.0
42,43,0,,3,1,7.8958
43,44,1,3.0,2,0,41.5792
44,45,1,19.0,3,0,7.8792
45,46,0,,3,1,8.05
46,47,0,,3,1,15.5
47,48,1,,3,0,7.75
48,49,0,,3,1,21.6792
49,50,0,18.0,3,0,17.8
50,51,0,7.0,3,1,39.6875
51,52,0,21.0,3,1,7.8
52,53,1,49.0,1,0,76.7292
53,54,1,29.0,2,0,26.0
54,55,0,65.0,1,1,61.9792
55,56,1,,1,1,35.5
56,57,1,21.0,2,0,10.5
57,58,0,28.5,3,1,7.2292
58,59,1,5.0,2,0,27.75
59,60,0,11.0,3,1,46.9
60,61,0,22.0,3,1,7.2292
61,62,1,38.0,1,0,80.0
62,63,0,45.0,1,1,83.475
63,64,0,4.0,3,1,27.9
64,65,0,,1,1,27.7208
65,66,1,,3,1,15.2458
66,67,1,29.0,2,0,10.5
67,68,0,19.0,3,1,8.1583
68,69,1,17.0,3,0,7.925
69,70,0,26.0,3,1,8.6625
70,71,0,32.0,2,1,10.5
71,72,0,16.0,3,0,46.9
72,73,0,21.0,2,1,73.5
73,74,0,26.0,3,1,14.4542
74,75,1,32.0,3,1,56.4958
75,76,0,25.0,3,1,7.65
76,77,0,,3,1,7.8958
77,78,0,,3,1,8.05
78,79,1,0.83,2,1,29.0
79,80,1,30.0,3,0,12.475
80,81,0,22.0,3,1,9.0
81,82,1,29.0,3,1,9.5
82,83,1,,3,0,7.7875
83,84,0,28.0,1,1,47.1
84,85,1,17.0,2,0,10.5
85,86,1,33.0,3,0,15.85
86,87,0,16.0,3,1,34.375
87,88,0,,3,1,8.05
88,89,1,23.0,1,0,263.0
89,90,0,24.0,3,1,8.05
90,91,0,29.0,3,1,8.05
91,92,0,20.0,3,1,7.8542
92,93,0,46.0,1,1,61.175
93,94,0,26.0,3,1,20.575
94,95,0,59.0,3,1,7.25
95,96,0,,3,1,8.05
96,97,0,71.0,1,1,34.6542
97,98,1,23.0,1,1,63.3583
98,99,1,34.0,2,0,23.0
99,100,0,34.0,2,1,26.0
100,101,0,28.0,3,0,7.8958
101,102,0,,3,1,7.8958
102,103,0,21.0,1,1,77.2875
103,104,0,33.0,3,1,8.6542
104,105,0,37.0,3,1,7.925
105,106,0,28.0,3,1,7.8958
106,107,1,21.0,3,0,7.65
107,108,1,,3,1,7.775
108,109,0,38.0,3,1,7.8958
109,110,1,,3,0,24.15
110,111,0,47.0,1,1,52.0
111,112,0,14.5,3,0,14.4542
112,113,0,22.0,3,1,8.05
113,114,0,20.0,3,0,9.825
114,115,0,17.0,3,0,14.4583
115,116,0,21.0,3,1,7.925
116,117,0,70.5,3,1,7.75
117,118,0,29.0,2,1,21.0
118,119,0,24.0,1,1,247.5208
119,120,0,2.0,3,0,31.275
120,121,0,21.0,2,1,73.5
121,122,0,,3,1,8.05
122,123,0,32.5,2,1,30.0708
123,124,1,32.5,2,0,13.0
124,125,0,54.0,1,1,77.2875
125,126,1,12.0,3,1,11.2417
126,127,0,,3,1,7.75
127,128,1,24.0,3,1,7.1417
128,129,1,,3,0,22.3583
129,130,0,45.0,3,1,6.975
130,131,0,33.0,3,1,7.8958
131,132,0,20.0,3,1,7.05
132,133,0,47.0,3,0,14.5
133,134,1,29.0,2,0,26.0
134,135,0,25.0,2,1,13.0
135,136,0,23.0,2,1,15.0458
136,137,1,19.0,1,0,26.2833
137,138,0,37.0,1,1,53.1
138,139,0,16.0,3,1,9.2167
139,140,0,24.0,1,1,79.2
140,141,0,,3,0,15.2458
141,142,1,22.0,3,0,7.75
142,143,1,24.0,3,0,15.85
143,144,0,19.0,3,1,6.75
144,145,0,18.0,2,1,11.5
145,146,0,19.0,2,1,36.75
146,147,1,27.0,3,1,7.7958
